"iter","R0","k"
132,3.19007034660564,10
133,3.39336856788318,11
134,4.82345656158372,11
135,4.82345656158372,9
136,2.00248145598895,8
137,2.00248145598895,8
138,2.7166566615759,11
139,4.23043736359205,15
140,2.39791108509264,16
141,5.24521977053259,13
142,5.24521977053259,17
143,5.24521977053259,14
144,5.24521977053259,17
145,5.35873888843748,20
146,4.00755301503574,19
147,1.36510255233856,18
148,2.27396530893178,19
149,2.27396530893178,21
150,1.74626819841953,24
151,1.74626819841953,27
152,1.74626819841953,29
153,2.41045866048326,26
154,2.41045866048326,27
155,2.41045866048326,25
156,1.8964389759779,25
157,1.42959893784385,25
158,3.3189929401263,23
159,2.11966699802126,20
160,3.76475176291863,20
161,3.76475176291863,23
162,3.76475176291863,26
163,3.76475176291863,25
164,2.26506929568546,26
165,2.6236348377779,26
166,2.6236348377779,23
167,2.6236348377779,23
168,2.6236348377779,21
169,2.59311481510966,24
170,1.87005992912337,23
171,2.33884973298104,26
172,2.33884973298104,23
173,2.33884973298104,19
174,2.33884973298104,15
175,2.33884973298104,15
176,1.46328242344652,18
177,1.53324567794482,18
178,2.87261247490232,21
179,2.87261247490232,19
180,1.81294628720813,17
181,1.65525505235789,17
182,1.65525505235789,21
183,1.65525505235789,22
184,1.75585136719839,24
185,1.75585136719839,23
186,1.25392442837236,23
187,2.17165576684116,23
188,3.17949688700028,26
189,3.17949688700028,22
190,5.0686117766353,19
191,5.40240536127403,19
192,3.54152290565039,20
193,3.0172677500555,18
194,3.0172677500555,20
195,1.12664020243256,20
196,1.54718456193724,24
197,1.15159033572303,22
198,1.89136943935562,22
199,1.89136943935562,18
200,1.82567857395681,20
201,1.67283794277926,23
202,2.59744732429504,20
203,1.50309089996979,20
204,2.64835867842505,22
205,3.04407930479887,22
206,1.32272683646742,22
207,1.21038837772519,22
208,2.70272578943706,26
209,2.70272578943706,26
210,3.30543074192344,25
211,3.5362585776113,22
212,2.92646321017887,19
213,2.92646321017887,19
214,1.13298109943476,16
215,2.93095819198109,18
216,2.93095819198109,20
217,2.93095819198109,23
218,1.3480524666735,22
219,1.43087524024601,22
220,2.4309229756174,19
221,2.4309229756174,20
222,1.5303627570479,17
223,1.1852367138585,14
224,1.4336213679608,17
225,3.31561276747818,17
226,3.75523580718231,16
227,2.67612861871258,19
228,2.36039412742545,16
229,2.81879614282668,16
230,2.78431296077283,17
231,2.83415659619538,15
232,1.36175112533114,18
233,2.1736053362308,21
234,2.1736053362308,19
235,2.1736053362308,16
236,1.39099816276578,17
237,1.39099816276578,16
238,1.37365328390451,14
239,1.75629133969778,14
240,1.3243927941953,10
241,1.3243927941953,14
242,1.6627401367803,13
243,1.46041555161387,13
244,1.46041555161387,13
245,1.67886624383655,10
246,1.67886624383655,8
247,1.14735656659363,8
248,1.82662804211842,10
249,1.82662804211842,9
250,1.82662804211842,6
251,1.82662804211842,7
252,2.70704241907236,10
253,2.70704241907236,6
254,2.14353637521691,4
255,2.14353637521691,8
256,2.14353637521691,11
257,2.31675244566785,11
258,1.47368732892731,10
259,1.47368732892731,7
260,2.23140867055157,9
261,2.23140867055157,9
262,1.49776254922786,12
263,1.49776254922786,12
264,1.49776254922786,10
265,1.19163783473587,8
266,2.36803620883004,10
267,2.36803620883004,9
268,2.36803620883004,8
269,1.47345052826887,8
270,1.47345052826887,8
271,2.06192915885285,8
272,2.28646409686652,11
273,2.28646409686652,12
274,2.28646409686652,12
275,1.79165050464308,9
276,3.79611957776715,8
277,3.79611957776715,7
278,3.79611957776715,10
279,3.79611957776715,7
280,3.79611957776715,7
281,3.40070233827898,7
282,2.6759407625656,6
283,1.98599518704546,9
284,2.70204852428421,9
285,2.70204852428421,10
286,1.97236107561265,9
287,3.9993489297232,7
288,2.17471255154904,4
289,5.99017518853822,5
290,6.35356338904118,4
291,2.12301560353217,4
292,4.89462867068095,5
293,2.16218848356211,5
294,2.83231367021694,5
295,2.83231367021694,4
296,3.26266873977224,7
297,4.61685487073991,8
298,3.77068951461849,11
299,1.94816299044164,12
300,2.53455080982456,16
301,2.9674444225059,17
302,2.13460769467931,14
303,2.13460769467931,13
304,2.1600306708851,12
305,2.01844048087429,12
306,2.01844048087429,15
307,2.00419963693161,15
308,2.00419963693161,12
309,1.43058265003099,8
310,3.34849761548209,10
311,2.89152939106896,13
312,2.17617018571178,13
313,1.76604865162673,13
314,1.76604865162673,16
315,1.29632861700157,16
316,1.88752032071557,18
317,1.88752032071557,21
318,1.12955388061847,22
319,1.52888201862551,21
320,1.52888201862551,21
321,2.28788008302745,20
322,1.0857684447172,20
323,1.17363801401461,21
324,1.17363801401461,21
325,1.82624838766196,21
326,1.82624838766196,21
327,1.61537479745534,21
328,1.61537479745534,24
329,2.75064665416249,28
330,1.33705935612491,31
331,2.75283469663469,28
332,2.04586334667292,29
333,1.42853430030147,25
334,1.42853430030147,25
335,1.05502157847001,25
336,2.07717740657979,23
337,2.05361025997469,23
338,1.82369233262373,22
339,1.48530038376213,22
340,1.48530038376213,25
341,1.48530038376213,26
342,1.48530038376213,27
343,1.48530038376213,24
344,1.57269537207779,21
345,2.98416584805276,18
346,1.78975346986243,20
347,2.3089174799296,18
348,1.14074468731177,21
349,1.21392702393334,22
350,2.33312401732417,19
351,2.33312401732417,19
352,3.41967510442124,21
353,2.11477805223768,18
354,2.04952754863745,17
355,1.63235794273945,18
356,3.01741274091907,20
357,3.86226495050672,17
358,2.46998518722675,18
359,2.46998518722675,18
360,2.46998518722675,14
361,2.46998518722675,14
362,1.82881411199362,11
363,1.68038365865163,14
364,2.00349311122227,16
365,2.00349311122227,14
366,1.84861174049238,11
367,1.84861174049238,12
368,1.39180999138998,13
369,1.87450444837614,12
370,1.87450444837614,10
371,1.27247897083187,7
372,1.27247897083187,7
373,1.27247897083187,6
374,1.93578370832317,5
375,2.11865435166054,5
376,1.86141010074782,6
377,2.31102339958307,6
378,2.92221653544814,4
379,2.92221653544814,5
380,2.85496097553814,4
381,2.85496097553814,7
382,3.90548813398859,6
383,3.90548813398859,4
384,2.03272096037324,4
385,1.76875021171345,8
386,2.79848109916182,6
387,3.04508653403813,5
388,3.04508653403813,4
389,2.01576144880689,6
390,2.01576144880689,9
391,2.01576144880689,9
392,2.01576144880689,5
393,2.33849660109656,5
394,2.08646041656119,7
395,1.20966020136765,7
396,1.20966020136765,6
397,1.20966020136765,7
398,3.2444314946122,6
399,2.84895742268559,6
400,2.84895742268559,5
401,2.37804001835568,8
402,2.37804001835568,7
403,3.13077399404873,7
404,3.13077399404873,4
405,3.13077399404873,4
406,2.68833192929056,5
407,2.66564740073268,5
408,2.66564740073268,6
409,2.33226380447462,6
410,2.33226380447462,6
411,2.38556854958226,9
412,2.38556854958226,8
413,2.38556854958226,6
414,1.9757839622736,5
415,2.39586824974178,5
416,3.75505265143082,9
417,3.75505265143082,10
418,3.09778332409972,11
419,2.56951050436885,11
420,2.48724750363621,14
421,2.62583474362367,18
422,2.62583474362367,18
423,2.85504584904587,15
424,2.73648548237795,14
425,2.73648548237795,15
426,2.73648548237795,14
427,2.73648548237795,13
428,2.73648548237795,13
429,1.4256225241049,10
430,1.4256225241049,9
431,2.43017129065587,10
432,1.27293917647902,12
433,1.25659125683167,12
434,1.65015220795829,14
435,1.08310946560974,16
436,1.08310946560974,15
437,1.08310946560974,17
438,1.08310946560974,15
439,1.08310946560974,14
440,2.19354487595702,11
441,1.88685543384863,13
442,1.88685543384863,13
443,1.88685543384863,17
444,1.69022950336929,13
445,1.69022950336929,16
446,1.69022950336929,13
447,1.59577891547831,12
448,1.59577891547831,12
449,1.70619360942046,15
450,2.75603910282316,13
451,2.72082073017902,15
452,3.51275080328663,12
453,2.4151495616092,12
454,2.4151495616092,9
455,2.4151495616092,12
456,2.4151495616092,15
457,2.08824393859951,18
458,1.93738645033127,18
459,1.54521711997817,18
460,2.4900352212332,15
461,2.2731618986436,16
462,1.53363662410662,13
463,1.78344700496732,14
464,3.02437576298817,14
465,3.57104113691017,15
466,3.59194231734085,15
467,2.0049828276306,18
468,2.71886466771109,17
469,4.72726880458775,14
470,2.67399736165166,15
471,2.4370952293308,18
472,1.79847670029941,19
473,2.89281701734127,22
474,5.4048802015191,22
475,3.03929459016251,19
476,4.40752830049878,17
477,4.40752830049878,17
478,4.70360839591088,20
479,4.70360839591088,17
480,3.98753000790203,18
481,3.98753000790203,21
482,4.65463426921382,22
483,12.5070685651489,25
484,6.52424897060357,24
485,3.30558624938059,23
486,3.30558624938059,23
487,5.76035858227049,23
488,5.66839352940539,25
489,5.66839352940539,25
490,4.99801913767556,22
491,4.99801913767556,24
492,4.99801913767556,25
493,2.48147476964755,24
494,2.48147476964755,25
495,3.14840750599603,22
496,3.50619284346568,22
497,2.41681533225152,24
498,2.41681533225152,25
499,2.41681533225152,21
500,2.13172295636881,18
501,2.13172295636881,18
502,2.60861985259382,14
503,3.34536427572517,13
504,3.34536427572517,17
505,2.01218300607025,16
506,2.01218300607025,19
507,2.01218300607025,15
508,2.01218300607025,12
509,2.79040145180018,12
510,3.24606308916726,12
511,3.21218056287792,14
512,4.12671735055684,15
513,4.12671735055684,13
514,2.57334646201301,10
515,1.7540266543374,11
516,3.91101827887249,10
517,3.91101827887249,11
518,3.31238699346395,12
519,3.31238699346395,11
520,2.37200373183468,11
521,2.40835190224189,10
522,2.09689862878593,7
523,2.09689862878593,6
524,3.03874906999591,8
525,3.03874906999591,8
526,3.03874906999591,11
527,3.03874906999591,10
528,1.77584923256223,10
529,1.77584923256223,14
530,3.57055251308183,11
531,3.57055251308183,9
532,3.58181017654807,5
533,3.58181017654807,5
534,1.52075208158854,5
535,1.52075208158854,5
536,4.38531922176631,9
537,3.10682514475164,13
538,2.19479905922552,10
539,2.67983156869248,7
540,1.44352399027811,8
541,3.66303429628673,8
542,3.66303429628673,11
543,3.66303429628673,8
544,2.64270156177485,8
545,3.99087722966665,6
546,1.70756147622141,6
547,2.12877705930201,6
548,2.89450937943407,6
549,3.5726571713479,7
550,3.84544481740503,6
551,3.84544481740503,4
552,3.10229368249394,4
553,1.84206983543726,6
554,1.84206983543726,5
555,1.84206983543726,6
556,1.88707195403295,6
557,1.41613666067755,7
558,2.70502159343738,7
559,2.08473874990238,8
560,2.24331842148518,5
561,2.70132261671278,4
562,3.0982405688146,7
563,3.0982405688146,7
564,3.96542602595542,10
565,1.29726095488703,10
566,1.25650812741119,7
567,1.63205085380214,5
568,2.57791041954774,6
569,4.69608866325755,4
570,1.98964904439861,4
571,5.87274951568366,4
572,5.87274951568366,4
573,2.90527267239754,6
574,3.08364379817844,4
575,5.36738339704258,4
576,3.54909798245321,7
577,2.27228596081641,10
578,1.60566380302102,8
579,1.60566380302102,12
580,1.91722298612363,12
581,2.58375741562197,12
582,2.14395562416698,8
583,4.47575189719844,7
584,4.73722542360775,7
585,4.73722542360775,4
586,2.11575930596607,5
587,2.86362324938541,4
588,2.86362324938541,6
589,2.46592084858007,8
590,2.46592084858007,10
591,2.65076219147055,10
592,2.75859994423607,11
593,2.75859994423607,9
594,2.75859994423607,10
595,2.75859994423607,6
596,2.75859994423607,9
597,1.64685089688106,13
598,3.26550246272189,10
599,4.99445099110319,14
600,4.99445099110319,12
601,3.14096756703074,12
602,3.14096756703074,11
603,3.14096756703074,11
604,1.11002419747702,11
605,1.12800186885757,10
606,1.30243356293126,10
607,2.96388228999879,10
608,1.24948117211251,7
609,3.65540067812849,10
610,3.65540067812849,11
611,2.08294576172618,10
612,2.08294576172618,9
613,3.12540546650514,6
614,3.12540546650514,7
615,2.64542411485678,8
616,2.64542411485678,11
617,2.64542411485678,10
618,3.35239824357144,11
619,2.1264493845366,10
620,2.1264493845366,7
621,2.1264493845366,5
622,2.1264493845366,7
623,2.1264493845366,5
624,2.41485090968844,5
625,2.71665252960311,8
626,6.52842814369047,8
627,1.84276782069081,7
628,2.45194457555754,7
629,2.45194457555754,6
630,2.07227945964365,7
631,1.41938375993099,7
632,1.41938375993099,7
633,1.42445388786478,10
634,1.37704911575659,8
635,1.92311172017806,7
636,3.48053529743141,10
637,3.48053529743141,7
638,3.48053529743141,7
639,2.77099914885339,7
640,2.95352898225527,8
641,2.95352898225527,11
642,2.24560388698408,11
643,2.26439790706478,11
644,1.12826437856767,11
645,2.81396144761036,10
646,1.4939463796257,7
647,2.70680187390048,10
648,2.70680187390048,11
649,1.94129499860079,10
650,1.94129499860079,9
651,2.31109718840566,12
652,2.31109718840566,14
653,1.92949917621598,11
654,1.92949917621598,11
655,7.17697512172265,8
656,3.18064539777928,10
657,3.33499667163011,7
658,3.33499667163011,4
659,2.95464310944979,4
660,1.62140830558607,5
661,1.62140830558607,8
662,1.62140830558607,8
663,1.25781964272866,11
664,1.52243656011736,10
665,1.52243656011736,7
666,2.26102501064523,8
667,2.26097049399639,8
668,2.26722995965727,11
669,2.26722995965727,9
670,2.26722995965727,9
671,2.26722995965727,12
672,2.17875092014094,12
673,2.17875092014094,12
674,1.09388802726702,13
675,1.72277397915116,13
676,1.72277397915116,15
677,1.72277397915116,15
678,1.72277397915116,17
679,1.8570227093676,17
680,2.44837486554199,19
681,1.55405886066414,20
682,1.55405886066414,17
683,1.55405886066414,20
684,1.80958850924075,20
685,2.55463407785825,16
686,1.39261272697404,17
687,1.39261272697404,17
688,2.75298740704763,17
689,2.06723026042062,17
690,2.12376193924891,18
691,2.12376193924891,20
692,2.5903415090912,20
693,2.5903415090912,20
694,2.5903415090912,17
695,1.47007149920503,21
696,1.47007149920503,18
697,2.25809433745357,19
698,1.38990628801278,19
699,1.16207147146409,19
700,1.35904318296453,19
701,1.61772248015309,19
702,1.61772248015309,15
703,1.61772248015309,14
704,1.61772248015309,13
705,1.21760368534419,15
706,1.21760368534419,14
707,1.98656725285585,17
708,1.08110322288707,19
709,1.08110322288707,19
710,1.65368305154841,17
711,1.65368305154841,19
712,1.65368305154841,19
713,1.69392059817894,22
714,1.24908884529401,18
715,1.58642876113648,22
716,1.96517154360009,25
717,1.65432986938711,28
718,2.08789142253429,28
719,2.04488402491848,26
720,2.04488402491848,26
721,1.86566945672417,29
722,2.23634757107065,32
723,4.03636618922127,31
724,4.03636618922127,28
725,1.36006762169704,28
726,3.44842029995574,29
727,3.44842029995574,29
728,3.44842029995574,27
729,3.27098068836733,28
730,3.27098068836733,31
731,3.59178894508027,34
732,3.59178894508027,31
733,3.36821913290839,34
734,1.37875384693744,36
735,1.76447964312469,39
736,1.73428515194785,38
737,1.78247988999025,41
738,2.83205070736101,42
739,4.50086915619283,43
740,5.20324610069165,42
741,1.69577016051804,42
742,1.34320009773397,43
743,1.34320009773397,47
744,3.49860959173493,47
745,1.35658739970093,44
746,6.21586826607142,41
747,1.37643100978882,41
748,3.28191373830373,38
749,2.76438764470749,39
750,2.76438764470749,38
751,4.44810477220203,39
752,3.32559658795214,38
753,2.23669762791597,37
754,2.01807748905093,37
755,2.01807748905093,34
756,2.01807748905093,37
757,2.01807748905093,39
758,2.51025400165976,35
759,2.51025400165976,31
760,2.51025400165976,34
761,2.78207543950839,37
762,2.78207543950839,37
763,2.78207543950839,37
764,1.90209947145448,38
765,2.57700443537596,41
766,2.57700443537596,41
767,2.57700443537596,43
768,2.57700443537596,40
769,1.06212904647303,39
770,1.92770643706898,35
771,1.92770643706898,38
772,1.07571470891557,36
773,1.80509396934627,35
774,1.88809795014868,36
775,1.88809795014868,32
776,1.88809795014868,30
777,1.88809795014868,30
778,1.88809795014868,30
779,1.88809795014868,33
780,2.41226801617447,32
781,1.14961938525057,33
782,1.14961938525057,34
783,2.34543714235399,31
784,2.34543714235399,34
785,4.05152747590092,33
786,2.93971570750142,35
787,2.23456439425998,33
788,1.76481044826041,36
789,1.72309399587925,39
790,1.72309399587925,40
791,2.65514921228613,39
792,2.65514921228613,39
793,2.65514921228613,42
794,2.37031446657237,42
795,2.37031446657237,38
796,1.58707138412344,41
797,6.11756826280164,42
798,6.11756826280164,42
799,1.63037895447597,43
800,3.06401288955455,47
