"pobs","R0_hat","k_hat"
0.1,8.8810040954202,4
0.2,7.54557413312,4
0.3,6.85050536054489,4
0.4,6.38459860638853,4
0.5,6.03577861237925,4
0.6,5.75734809227066,4
0.7,5.52526725704514,4
0.8,5.32525705624499,4
0.9,5.14724617028986,4
